Name, Website Name, Price 
Sony Xperia 1, Sony Xperia 1 III,200700
Sony XA2 Plus, Not Found, Not Found
Sony Xperia Z2 Tablet, Not Found, Not Found
Sony Xperia M2 Aqua, Sony Xperia M2 Aqua, NA
Sony Hayabusa, Not Found, Not Found
Sony XZ1, Not Found, Not Found
Sony Xperia 1 II, Sony Xperia 1 III,200700
Sony Xperia Z3+, Sony Xperia Z3+ Dual, NA
Sony Xperia XZs, Sony Xperia XZs, Rs. 51500
Sony Xperia E3, Sony Xperia E3, NA
Sony Xperia 5, Sony Xperia 5 Plus, NA
Sony Xperia M2 Dual, Not Found, Not Found
Sony Xperia X Performance, Sony Xperia X Performance, Rs. 48999
Sony Xperia Z5 Compact, Sony Xperia Z5 Compact, Rs. 41999
Sony Xperia Z4/Z3+ Dual, Not Found, Not Found
Sony Xperia M5, Sony Xperia M5, Rs. 25500
Sony DoCoMo tablet Xperia Z2 Tablet, Not Found, Not Found
Sony Xperia Z2, Sony Xperia Z2a, NA
Sony Xperia XZ3, Sony Xperia XZ3 Premium,50000
Sony Xperia Z5 Premium, Sony Xperia Z5 Premium, Rs. 44499
Sony Xperia XZ2, Sony Xperia XZ2 Premium,137000
Sony Xperia E5, Sony Xperia E5, NA
Sony Xperia Z5 Premium Dual, Not Found, Not Found
Sony Xperia XA, Sony Xperia XA2 Ultra, Rs. 48999
Sony Xperia 8, Sony Xperia 8,81999
Sony Xperia XA2, Sony Xperia XA2 Ultra, Rs. 48999
Sony Xperia L, Sony Xperia L2, Rs. 27999
Sony Xperia ZR, Sony Xperia ZR, NA
Sony Xperia Z1 f SO-02F for DoCoMo, Not Found, Not Found
Sony Xperia XA1 Plus, Sony Xperia XA1 Plus, Rs. 32999
Sony Xperia feat. HATSUNE MIKU SO-04E for DoCoMo, Not Found, Not Found
Sony Xperia M2, Sony Xperia M2 Aqua, NA
Sony Xperia Z1 SO-01F for DoCoMo, Not Found, Not Found
Sony Xperia L3, Sony Xperia L3,31999
Sony Xperia Z SO-02E for DoCoMo, Not Found, Not Found
Sony Xperia A4, Not Found, Not Found
Sony Xperia XZ2 Premium, Sony Xperia XZ2 Premium,137000
Sony Xperia SP, Sony Xperia SP, NA
Sony Xperia E4, Sony Xperia E4 Dual,14399
Sony Xperia M4 Aqua Dual, Not Found, Not Found
Sony Xperia XZ1, Sony Xperia XZ1, Rs. 63999
Sony Xperia 10 Plus, Sony Xperia 10 Plus,67999
Sony Xperia Z3, Sony Xperia Z3+ Dual, NA
Sony Xperia XA1, Sony Xperia XA1 Plus, Rs. 32999
Sony Xperia M, Sony Xperia M5, Rs. 25500
Sony Xperia X, Sony Xperia XA2 Ultra, Rs. 48999
Sony Xperia 10, Sony Xperia 10.1 Plus,220000
Sony Xperia 5 II, Not Found, Not Found
Sony Xperia Z Ultra, Sony Xperia Z Ultra, NA
Sony Xperia Z5 Dual, Sony Xperia Z5 Dual,39999
Sony Xperia Z4, Not Found, Not Found
Sony XZ Premium, Not Found, Not Found
Sony Xperia XZ, Sony Xperia XZ1, Rs. 63999
Sony Z5 Premium, Not Found, Not Found
Sony Xperia Z3 Compact, Sony Xperia Z3 Compact, NA
Sony Xperia XA Ultra, Sony Xperia XA Ultra, Rs. 33499
Sony C5 Ultra Dual, Not Found, Not Found
Sony Xperia L2, Sony Xperia L2, Rs. 27999
Sony Xperia T2 Ultra, Sony Xperia T2 Ultra, NA
Sony XZ2 Premium, Not Found, Not Found
Sony Xperia XZ1 Compact, Sony Xperia XZ1 Compact,62400
Sony Xperia XA2 Ultra, Sony Xperia XA2 Ultra, Rs. 48999
Sony Xperia Z4 Tablet WiFi, Not Found, Not Found
Sony Xperia C3, Sony Xperia C3 Dual, NA
Sony Xperia Z1 SOL23 for KDDI, Not Found, Not Found
Sony Xperia Z5, Sony Xperia Z5 Compact, Rs. 41999
Sony Xperia Z2 SO-03F for DoCoMo, Not Found, Not Found
Sony Xperia M4 Aqua, Sony Xperia M4 Aqua, NA
Sony Xperia Z1 Compact, Sony Xperia Z1 Compact, NA
Softbank Aquos Phone XX, Not Found, Not Found
Softbank Aquos, Not Found, Not Found
Softbank AQUOS PHONE Xx, Not Found, Not Found
Softbank Aquos Phone XX Mini, Not Found, Not Found
SoftBank Aquos XX3, Not Found, Not Found
SoftBank Aquos Hybrid, Not Found, Not Found
Sharp Aquos Compact, Not Found, Not Found
Sharp Aquos Phone EX, Not Found, Not Found
Sharp Aquos Serie, Not Found, Not Found
Sharp Disney Mobile on docomo SH-05F for DoCoMo, Not Found, Not Found
Sharp AQUOS SERIE mini, Not Found, Not Found
Sharp Aquos Serie Mini (2017), Not Found, Not Found
Sharp Aquos Pad, Not Found, Not Found
Sharp Xx2 Mini, Not Found, Not Found
Sharp AQUOS R2, Sharp Aquos R2 compact,79999
Sharp Aquos 507SH, Not Found, Not Found
Sharp Xx2, Not Found, Not Found
Sharp Aquos Xx, Not Found, Not Found
Sharp Aquos R Compact, Not Found, Not Found
Sharp Aquos Zeta, Not Found, Not Found
Sharp Disney Mobile SH-02G, Not Found, Not Found
Sharp AQUOS PHONE ZETA SH-02E for DoCoMo, Not Found, Not Found
Sharp AQUOS PHONE ZETA SH-06E for DoCoMo, Not Found, Not Found
Sharp AQUOS PHONE EX SH-04E for DoCoMo, Not Found, Not Found
Sharp Aquos R2, Sharp Aquos R2 compact,79999
Sharp AQUOS Zero, Sharp Aquos Zero,10999
Sharp Aquos R3, Not Found, Not Found
Sharp AQUOS R2 compact, Sharp Aquos R2 compact,79999
Sharp AQUOS R, Sharp Aquos R5G,77999
Sharp Aquos Sense, Not Found, Not Found
Sharp Aquos S3 mini, Not Found, Not Found
Sharp S7, Not Found, Not Found
Sharp Android One S3, Not Found, Not Found
Sharp AQUOS R3, Not Found, Not Found
Sharp Aquos Xx3 Mini, Not Found, Not Found
Sharp Aquos Crystal 2, Not Found, Not Found
Sharp AQUOS PHONE SERIE SHL22 for KDDI, Not Found, Not Found
Sharp Aquos S3, Not Found, Not Found
Sharp Disney Mobile, Not Found, Not Found
Sharp AQUOS PHONE SERIE mini SHL24 for KDDI, Not Found, Not Found
Sharp AQUOS R Compact, Not Found, Not Found
Sharp AQUOS PHONE Xx 203SH for Softbank, Not Found, Not Found
Sharp Aquos M1, Not Found, Not Found
Sharp Aquos U, Not Found, Not Found
Sharp Aquos Ever, Not Found, Not Found
Sharp AQUOS SENSE2, Not Found, Not Found
Samsung Galaxy A51, Samsung Galaxy A51 8GB, Rs. 54999
Samsung Galaxy C9 Pro, Samsung Galaxy C9 Pro,41749
Samsung Galaxy A2 Core, Samsung Galaxy A2 Core, Rs. 14999
Samsung Galaxy S5 Active, Samsung Galaxy S5 Active, NA
Samsung Galaxy Tab S7+, Not Found, Not Found
Samsung Galaxy Note 10.1, Samsung Galaxy Note 10.1 N8010, NA
Samsung GALAXY Note II? SC-02E for DoCoMo, Not Found, Not Found
Samsung Galaxy A6+, Not Found, Not Found
Samsung Galaxy S4, Samsung Galaxy S4 Active LTE-A, NA
Samsung Galaxy A60, Samsung Galaxy A60s,55000
Samsung Galaxy Grand Quattro, Not Found, Not Found
Samsung Galaxy S10e, Samsung Galaxy S10E,123999
Samsung Galaxy Note 20 Ultra 5G, Not Found, Not Found
Samsung Galaxy Grand, Samsung Galaxy Grand Prime Plus 2018,17699
Samsung Galaxy S6 Active, Samsung Galaxy S6 active, NA
Samsung Galaxy J1 Ace, Samsung Galaxy J1 Ace,9999
Samsung Galaxy Tab 3, Not Found, Not Found
Samsung GALAXY SOL 3 (2018), Not Found, Not Found
Samsung Galaxy M01s, samsung Galaxy M01s,23000
Samsung Gakaxy J7 Neo, Not Found, Not Found
Samsung Galaxy A8+, Not Found, Not Found
Samsung GALAXY S4 SC-04E for DoCoMo, Not Found, Not Found
Samsung Galaxy M31s, Samsung Galaxy M31s, Rs. 47999
Samsung Galaxy XCover 4s, Samsung Galaxy Xcover 4s,42999
Samsung Galaxy J7 Star, Samsung Galaxy J7 Star,25499
Samsung Galaxy Mega 5.8, Samsung Galaxy Mega 5.8 I9150, NA
Samsung Galaxy M10, Samsung Galaxy M10s,22500
Samsung Note 3 Neo Duos, Not Found, Not Found
Samsung Galaxy A20e, Samsung Galaxy A20e,34999
Samsung Galaxy Amp Prime 3 2018, Not Found, Not Found
Samsung Galaxy S4 LTE, Not Found, Not Found
Samsung Galaxy Note, Samsung Galaxy Note 10 Lite, Rs. 99999
Samsung Galaxy Tab, Samsung Galaxy Tab S6 Lite,78000
Samsung Galaxy S5 mini, Samsung Galaxy S5 mini Duos, NA
Samsung Galaxy S20+, Not Found, Not Found
Samsung Galaxy S20 FE 5G, Not Found, Not Found
Samsung Galaxy J3 Top, Not Found, Not Found
Samsung Galaxy S IV, Not Found, Not Found
Samsung Galaxy Grand Neo, Samsung Galaxy Grand Neo, NA
Samsung Galaxy A7 (2017), Not Found, Not Found
Samsung Galaxy J7 Pro, Samsung Galaxy J7 Pro,28945
Samsung Galaxy S20 5G, Not Found, Not Found
Samsung Galaxy A90 5G, Samsung Galaxy A90 5G,109999
Samsung Galaxy J2 (2016), Samsung Galaxy J2 (2016), NA
Samsung GALAXY Note III SC-01F for DoCoMo, Not Found, Not Found
Samsung Galaxy Feel 2, Not Found, Not Found
Samsung Galaxy On7, Samsung Galaxy On7 Pro,17999
Samsung Galaxy A7 Duos, Samsung Galaxy A7 Duos, NA
Samsung Galaxy J7 Prime, Samsung Galaxy J7 Prime 2,20000
Samsung Galaxy Note20 5G, Not Found, Not Found
Samsung Galaxy Z Fold2 5G, Not Found, Not Found
Samsung Galaxy S III Mini, Not Found, Not Found
Samsung Galaxy A71, Samsung Galaxy A71, Rs. 67999
Samsung Galaxy J5, Samsung Galaxy J5,24249
Samsung Galaxy S10 5G, Not Found, Not Found
Samsung Galaxy Feel, Not Found, Not Found
Samsung Galaxy Tab A 10.1, Samsung Galaxy Tab A 10.1 (2019),21949
Samsung Galaxy C7 Pro Duos, Not Found, Not Found
Samsung Galaxy Note 7, Samsung Galaxy Note 7,84999
Samsung Galaxy S8+, Not Found, Not Found
Samsung Galaxy A6, Samsung Galaxy A60s,55000
Samsung Galaxy Tab 4 7.0, Not Found, Not Found
Samsung Galaxy SII Plus, Not Found, Not Found
Samsung Galaxy Tab 4 8.0, Not Found, Not Found
Samsung Gakaxy J7 neo, Not Found, Not Found
Samsung Galaxy J7 V, Samsung Galaxy J7 V, NA
Samsung GALAXY S5 SCL23 for KDDI, Not Found, Not Found
Samsung Galaxy S6, Samsung Galaxy S6 edge (USA), NA
Samsung Galaxy J2 Core, Samsung Galaxy J2 Core (2020),15000
Samsung Ace Style, Not Found, Not Found
Samsung Galaxy Tab S2 8.0, Not Found, Not Found
Samsung Galaxy Duos, Not Found, Not Found
Samsung Galaxy Tab A7 10.4 (2020), Not Found, Not Found
Samsung Galaxy Tab A, Samsung Galaxy Tab A 10.1 (2019),21949
Samsung Galaxy Tab Pro 8.4, Not Found, Not Found
Samsung Galaxy Mega 2, Samsung Galaxy Mega 2, NA
Samsung Galaxy A01, Samsung Galaxy A01 Core, Rs. 13999
Samsung Galaxy Note10 5G, Not Found, Not Found
Samsung S III mini, Not Found, Not Found
Samsung Galaxy M30, Samsung Galaxy M30s,49999
Samsung Galaxy Grand 2 LTE, Not Found, Not Found
Samsung Galaxy Xcover Pro, Samsung Galaxy Xcover Pro,86999
Samsung Galaxy Trend II Duos, Samsung Galaxy Trend II Duos S7572, NA
Samsung Galaxy S6 Edge, Samsung Galaxy S6 edge (USA), NA
Samsung Galaxy J6, Samsung Galaxy J6+ Plus,30999
Samsung Galaxy Grand Max, Samsung Galaxy Grand Max, NA
Samsung Galaxy A9, Samsung Galaxy A90,80999
Samsung Galaxy Tab 2 10.1 WiFi, Not Found, Not Found
Samsung Galaxy Note Pro, Not Found, Not Found
Samsung Galaxy Ace 4 Neo, Not Found, Not Found
Samsung Galaxy Grand 3 LTE, Not Found, Not Found
Samsung Galaxy J7 (2016), Samsung Galaxy J7 (2016),23049
Samsung Galaxy S5, Samsung Galaxy S5 LTE-A G906S, NA
Samsung Galaxy Note 3 Neo, Samsung Galaxy Note 3 Neo, NA
Samsung GALAXY J SC-02F for DoCoMo, Not Found, Not Found
Samsung Galaxy J1 Mini, Samsung Galaxy J1 Mini Prime,8349
Samsung Galaxy A21, Samsung Galaxy A21s 128GB, Rs. 33999
Samsung Galaxy Grand Prime+, Not Found, Not Found
Samsung Galaxy Tab A 9.7, Not Found, Not Found
Samsung Galaxy Tab 4 10.1, Not Found, Not Found
Samsung Galaxy XCover4, Not Found, Not Found
Samsung Galaxy J7 Aura, Not Found, Not Found
Samsung Galaxy Xcover 3, Samsung Galaxy Xcover 3 G389F, NA
Samsung Galaxy Grand 3, Not Found, Not Found
Samsung Galaxy A5 2016 Duos, Not Found, Not Found
Samsung Galaxy S20+ 5G, Not Found, Not Found
Samsung Galaxy Tab S7, Not Found, Not Found
Samsung Galaxy Sol, Not Found, Not Found
Samsung Galaxy S20 Ultra, Samsung Galaxy S20 Ultra 5G,154499
Samsung Galaxy A70s, Samsung Galaxy A70s,69999
Samsung Galaxy J3 V 3rd Gen, Not Found, Not Found
Samsung Galaxy Grand Prime, Samsung Galaxy Grand Prime Plus 2018,17699
Samsung Galaxy Note20, Not Found, Not Found
Samsung Galaxy M31, Samsung Galaxy M31s, Rs. 47999
Samsung Galaxy Wide 4G LTE, Not Found, Not Found
Samsung Galaxy A02, Samsung Galaxy A02 64GB, Rs. 17899
Samsung Galaxy S20, Samsung Galaxy S20 FE, Rs. 119999
Samsung Galaxy Note 5 Duos, Samsung Galaxy Note 5 Duos,60999
Samsung Galaxy S5 Mini, Samsung Galaxy S5 mini Duos, NA
Samsung Galaxy A42 5G, Samsung Galaxy A42 5G,56000
Samsung Galaxy M02, Samsung Galaxy M02,16999
Samsung Galaxy Tab S4, Samsung Galaxy Tab S4 10.5,107400
Samsung Galaxy Tab 3 Kids, Not Found, Not Found
Samsung Galaxy A3, Samsung Galaxy A32, Rs. 39999
Samsung Galaxy Core Prime, Samsung Galaxy Core Prime, NA
Samsung Galaxy J2 Prime, Samsung Galaxy J2 Prime,13499
Samsung Galaxy M11, Samsung Galaxy M11, Rs. 24999
Samsung Galaxy Note10 Lite, Not Found, Not Found
Samsung Galaxy Tab E, Not Found, Not Found
Samsung Galaxy Tab A 8.0 (2018), Not Found, Not Found
Samsung Galaxy S5 LTE-A, Samsung Galaxy S5 LTE-A G906S, NA
Samsung Galaxy S5 Duos, Samsung Galaxy S5 Duos, NA
Samsung Galaxy Light, Samsung Galaxy Light, NA
Samsung Galaxy A5, Samsung Galaxy A51 8GB, Rs. 54999
Samsung Galaxy A8, Samsung Galaxy A82,97999
Samsung Galaxy S7, Samsung Galaxy S7 mini, NA
Samsung Galaxy Core LTE, Samsung Galaxy Core LTE G386W, NA
Samsung Galaxy A71 5G, Samsung Galaxy A71 5G,85000
Samsung GALAXY S5 SC-04F for DoCoMo, Not Found, Not Found
Samsung Galaxy Trend, Samsung Galaxy Trend II Duos S7572, NA
Samsung Galaxy S9+, Not Found, Not Found
Samsung Galaxy A7 (2018), Samsung Galaxy A7 (2018),49999
Samsung Galaxy Note 5, Samsung Galaxy Note 5 Duos,60999
Samsung Galaxy Alpha, Samsung Galaxy Alpha (S801), NA
Samsung Galaxy A20s, Samsung Galaxy A20s, Rs. 30500
Samsung Galaxy E5, Samsung Galaxy E5, NA
Samsung Galaxy Mega 6.3, Samsung Galaxy Mega 6.3 I9200, NA
Samsung Galaxy Amp Prime 3, Not Found, Not Found
